z,F0,G0,H0,F1,G1,H1,U_at_r0,V_at_r0,W_at_r0,P0,Pz0
0.0,-6.243772872252182e-28,1.0,1.9122389211727346e-28,0.0,-0.0,0.0,-3.121886436126091e-29,0.05,1.9122389211727346e-28,0.0,45.64422227951389
0.0006852326227130834,0.015179933629118163,0.9812265489610051,-0.0004699661142216845,0.0,-0.0,0.0,0.0007589966814559083,0.04906132744805026,-0.0004699661142216845,0.030359196020923487,42.96567460694918
0.0027390523158632996,0.055397487204063955,0.9252277774224936,-0.007069739709750062,0.0,-0.0,0.0,0.002769874360203198,0.04626138887112469,-0.007069739709750062,0.11097785648957097,35.540399453517075
0.00615582970243117,0.10671249954272732,0.834286576266985,-0.03230015147123688,0.0,0.0,0.0,0.005335624977136366,0.04171432881334925,-0.03230015147123688,0.2148265348761324,25.247100952458585
0.010926199633097156,0.15194364258688453,0.7151943859183465,-0.08844192166585027,0.0,0.0,0.0,0.007597182129344227,0.03575971929591733,-0.08844192166585027,0.31034511593291203,14.799512809189192
0.017037086855465844,0.17729172545238217,0.5801536622131764,-0.17978275754710502,0.0,0.0,0.0,0.008864586272619109,0.029007683110658822,-0.17978275754710502,0.3757774402670221,6.615486994635479
0.024471741852423234,0.1772230444427562,0.4444344353585636,-0.2990462235826467,-0.0,0.0,0.0,0.00886115222213781,0.02222172176792818,-0.2990462235826467,0.4067397398921052,1.7136956339476566
0.03320978675139913,0.15525971888924406,0.3219330332480846,-0.42992316611980347,-0.0,0.0,0.0,0.007762985944462203,0.01609665166240423,-0.42992316611980347,0.4123243004959709,-0.43547821381968266
0.04322727117869951,0.12066046259729638,0.22142983444581366,-0.5537537984100049,-0.0,-0.0,0.0,0.006033023129864819,0.011071491722290683,-0.5537537984100049,0.4048766561925243,-1.0514508365813917
0.054496737905816106,0.08343254638371345,0.14551899237478372,-0.6561315297656364,-0.0,-0.0,0.0,0.0041716273191856725,0.007275949618739186,-0.6561315297656364,0.3925544445078801,-1.1353805340627003
0.06698729810778065,0.0506524119750016,0.09203522057952923,-0.7301128743218117,-0.0,-0.0,0.0,0.00253262059875008,0.004601761028976462,-0.7301128743218117,0.37824265266819534,-1.1562367526357331
0.08066471602728803,0.025429388667647202,0.05643966342103471,-0.7756135765428885,-0.0,-0.0,0.0,0.0012714694333823603,0.0028219831710517354,-0.7756135765428885,0.36202287815185014,-1.2155229774243945
0.09549150281252633,0.007847437373785491,0.03380659975259267,-0.796748578382098,-0.0,-0.0,0.0,0.00039237186868927457,0.0016903299876296334,-0.796748578382098,0.34349677962315645,-1.2834808589480935
0.11142701927151455,-0.0035156793816209925,0.019920081598398615,-0.7991112801171639,-0.0,-0.0,0.0,-0.00017578396908104964,0.0009960040799199307,-0.7991112801171639,0.3227070082664596,-1.3257563641066552
0.12842758726130293,-0.010423061781432564,0.011625989155251716,-0.7880008723116834,-0.0,-0.0,0.0,-0.0005211530890716282,0.0005812994577625858,-0.7880008723116834,0.3001286413205099,-1.3304333537323787
0.14644660940672627,-0.014391850964221147,0.006764781701599807,-0.7676646753575483,-0.0,-0.0,0.0,-0.0007195925482110574,0.00033823908507999036,-0.7676646753575483,0.27641447052508833,-1.3016929186075163
0.16543469682057105,-0.016525883726568658,0.00394829489357488,-0.7411955735220205,-0.0,-0.0,0.0,-0.0008262941863284329,0.000197414744678744,-0.7411955735220205,0.25220458467443285,-1.2483149176744377
0.18533980447508136,-0.01755371572451269,0.0023239371069856884,-0.7107273021181373,-0.0,-0.0,0.0,-0.0008776857862256345,0.00011619685534928443,-0.7107273021181373,0.22804524039599675,-1.1791368397102389
0.2061073738537635,-0.017927142174372974,0.0013854679696622895,-0.6776955316449066,-0.0,-0.0,0.0,-0.0008963571087186487,6.927339848311448e-5,-0.6776955316449066,0.20437347979717066,-1.100548391352487
0.22768048249248662,-0.017915779924085926,0.0008389768068318209,-0.6430684602131158,-0.0,-0.0,0.0,-0.0008957889962042964,4.194884034159105e-5,-0.6430684602131158,0.18152905909422162,-1.017312421895719
0.2500000000000001,-0.017676566436091997,0.0005166105382617096,-0.6075139698389669,-0.0,-0.0,0.0,-0.0008838283218045999,2.5830526913085485e-5,-0.6075139698389669,0.15977136726327607,-0.9323436872581812
0.2730047501302266,-0.01730010124562643,0.0003230046550510635,-0.5715135867318305,-0.0,-0.0,0.0,-0.0008650050622813216,1.6150232752553175e-5,-0.5715135867318305,0.13929462231201067,-0.8478751662698555
0.2966316784620999,-0.016838459115317412,0.00020430815795549365,-0.5354319600478844,-0.0,-0.0,0.0,-0.0008419229557658707,1.0215407897774683e-5,-0.5354319600478844,0.12023890317691169,-0.7651757447444518
0.32081602522734987,-0.01632214515536633,0.00012974527960651132,-0.49956105618339414,-0.0,-0.0,0.0,-0.0008161072577683166,6.487263980325566e-6,-0.49956105618339414,0.10269845632257796,-0.6853862261529619
0.34549150281252633,-0.01576920230135453,8.18232145114204e-5,-0.46414385458058166,-0.0,-0.0,0.0,-0.0007884601150677266,4.09116072557102e-6,-0.46414385458058166,0.08672765988413952,-0.6090808319462679
0.3705904774487397,-0.015190946499877669,5.022080013759726e-5,-0.4293901234808316,-0.0,-0.0,0.0,-0.0007595473249938835,2.5110400068798633e-6,-0.4293901234808316,0.07234608368689163,-0.5369083094984061
0.3960441545911203,-0.014594584071868828,2.9003335430035442e-5,-0.39548301041825035,-0.0,-0.0,0.0,-0.0007297292035934414,1.4501667715017721e-6,-0.39548301041825035,0.05954275250509848,-0.46910202921807576
0.4217827674798846,-0.01398527327606089,1.4436812951192685e-5,-0.36258484395707186,-0.0,-0.0,0.0,-0.0006992636638030445,7.218406475596343e-7,-0.36258484395707186,0.04828033047562888,-0.4060361981714826
0.44773576836617335,-0.013366686325312694,4.386208109356832e-6,-0.3308379545656725,-0.0,-0.0,0.0,-0.0006683343162656348,2.193104054678416e-7,-0.3308379545656725,0.03849908282398473,-0.34773001903784845
0.4738320218785282,-0.012741925875056957,-2.6578496390718317e-6,-0.3003672845825475,-0.0,-0.0,0.0,-0.0006370962937528479,-1.328924819535916e-7,-0.3003672845825475,0.030120889448019057,-0.2943693054494124
0.5000000000000001,-0.012113448227710577,-7.505307001392509e-6,-0.2712794333848386,-0.0,-0.0,0.0,-0.0006056724113855289,-3.752653500696255e-7,-0.2712794333848386,0.023053141222537408,-0.24581367641285568
0.5261679781214719,-0.011483621406666157,-1.0861106917902757e-5,-0.24366441270347794,-0.0,-0.0,0.0,-0.0005741810703333079,-5.430553458951379e-7,-0.24366441270347794,0.017192545805441956,-0.2021074728551976
0.5522642316338268,-0.010854445437325253,-1.3036775791284054e-5,-0.2175942803622227,-0.0,-0.0,0.0,-0.0005427222718662627,-6.518387895642028e-7,-0.2175942803622227,0.012428766878919865,-0.16298546466295996
0.5782172325201155,-0.010227994194918733,-1.4421639742385297e-5,-0.193124839437362,-0.0,-0.0,0.0,-0.0005113997097459367,-7.210819871192649e-7,-0.193124839437362,0.00864776277945161,-0.12838770763680313
0.6039558454088796,-0.009606068211278266,-1.5122852024198612e-5,-0.17029432783721402,0.0,0.0,0.0,-0.00048030341056391334,-7.561426012099307e-7,-0.17029432783721402,0.00573489630613416,-0.09795444109561965
0.6294095225512604,-0.008990596777001057,-1.539417698780327e-5,-0.14912533343540738,0.0,-0.0,0.0,-0.0004495298388500529,-7.697088493901635e-7,-0.14912533343540738,0.003577551546254447,-0.07155700102821395
0.6545084971874737,-0.008383266973096314,-1.5250716846027375e-5,-0.12962369491609857,-0.0,0.0,0.0,-0.0004191633486548157,-7.625358423013688e-7,-0.12962369491609857,0.002067507675239104,-0.04877013527133978
0.6791839747726502,-0.007785911339536839,-1.4882046560251156e-5,-0.11178071570933602,-0.0,-0.0,0.0,-0.000389295566976842,-7.441023280125579e-7,-0.11178071570933602,0.001102676139524203,-0.02943151512301863
0.7033683215379002,-0.007200128015217617,-1.4257445136809434e-5,-0.09557231424967028,-0.0,0.0,0.0,-0.00036000640076088087,-7.128722568404718e-7,-0.09557231424967028,0.0005886526839457614,-0.013077258057246285
0.7269952498697734,-0.006627662865645161,-1.3532814111757768e-5,-0.08096154337902234,0.0,0.0,0.0,-0.00033138314328225806,-6.766407055878885e-7,-0.08096154337902234,0.000439540856253984,0.00045506480408246536
0.75,-0.006070026134860957,-1.2652160377866546e-5,-0.06789797749971396,-0.0,0.0,0.0,-0.00030350130674304787,-6.326080188933273e-7,-0.06789797749971396,0.0005787251119401776,0.011645414870618744
0.7723195175075136,-0.005528872372938371,-1.1751851198791019e-5,-0.05632050793870308,0.0,-0.0,0.0,-0.00027644361864691855,-5.87592559939551e-7,-0.05632050793870308,0.0009388605872785303,0.02062548661433651
0.7938926261462366,-0.005005615702772595,-1.0760569959974874e-5,-0.04615692846737842,-0.0,0.0,0.0,-0.00025028078513862975,-5.380284979987438e-7,-0.04615692846737842,0.0014620187968868137,0.02787547060693599
0.8146601955249188,-0.004501808895360947,-9.802343257307456e-6,-0.0373269567757986,0.0,0.0,0.0,-0.00022509044476804737,-4.901171628653728e-7,-0.0373269567757986,0.002099005043547813,0.0334688528471956
0.8345653031794291,-0.004018758133015806,-8.795869501643593e-6,-0.029741964479650457,0.0,0.0,0.0,-0.0002009379066507903,-4.3979347508217967e-7,-0.029741964479650457,0.002809101533117066,0.03787931586349708
0.8535533905932738,-0.0035579018210816883,-7.856937253064138e-6,-0.02330816218897907,0.0,0.0,0.0,-0.00017789509105408443,-3.928468626532069e-7,-0.02330816218897907,0.0035589099952687726,0.04109740736403567
0.8715724127386971,-0.0031204252511592115,-6.897493961630756e-6,-0.017926410660049137,0.0,0.0,0.0,-0.0001560212625579606,-3.448746980815378e-7,-0.017926410660049137,0.004321950539535395,0.043595373199578936
0.8885729807284855,-0.00270763943421948,-6.02773493921168e-6,-0.013495499169160709,0.0,0.0,0.0,-0.000135381971710974,-3.0138674696058404e-7,-0.013495499169160709,0.0050772136331440065,0.045256139768961
0.9045084971874737,-0.0023205958733338358,-5.155050119644064e-6,-0.009911969249397329,0.0,0.0,0.0,-0.0001160297936666918,-2.5775250598220323e-7,-0.009911969249397329,0.005808873274175501,0.04657140067059702
0.919335283972712,-0.0019604655788319062,-4.385911520383594e-6,-0.007073412234342845,0.0,0.0,0.0,-9.802327894159532e-5,-2.1929557601917972e-7,-0.007073412234342845,0.006504670158033036,0.047285332273088024
