iR,R,x,eta,F,G,H,B,meanH,minF,maxF,residual
1,5.0000000000000003e-02,0.0000000000000000e+00,5.9039367825822531e-02,7.0369098939995670e-02,1.2305072973709717e-01,-6.8733308755858535e-01,1.3352927861667334e-07,-2.6516251726256418e-01,-1.7944696311619591e-02,1.8017803726656764e-01,1.0602629885170245e-14
1,5.0000000000000003e-02,0.0000000000000000e+00,7.1135694999863996e-02,4.1908552917738789e-02,7.9227582001085012e-02,-7.4725338669531050e-01,1.3352927861667334e-07,-2.6516251726256418e-01,-1.7944696311619591e-02,1.8017803726656764e-01,1.0602629885170245e-14
1,5.0000000000000003e-02,0.0000000000000000e+00,8.4265193848727327e-02,2.0358399003200356e-02,4.9747743883128824e-02,-7.8297064851565068e-01,1.3352927861667334e-07,-2.6516251726256418e-01,-1.7944696311619591e-02,1.8017803726656764e-01,1.0602629885170245e-14
1,5.0000000000000003e-02,0.0000000000000000e+00,9.8396234259677584e-02,5.2966735574721561e-03,3.0646542897550717e-02,-7.9845063114795234e-01,1.3352927861667334e-07,-2.6516251726256418e-01,-1.7944696311619591e-02,1.8017803726656764e-01,1.0602629885170245e-14
1,5.0000000000000003e-02,0.0000000000000000e+00,1.1349477331863150e-01,-4.5880005364444193e-03,1.8630501062597268e-02,-7.9836058465509629e-01,1.3352927861667334e-07,-2.6516251726256418e-01,-1.7944696311619591e-02,1.8017803726656764e-01,1.0602629885170245e-14
1,5.0000000000000003e-02,0.0000000000000000e+00,1.2952443732252056e-01,-1.0743649575085312e-02,1.1239274666013316e-02,-7.8696239878242125e-01,1.3352927861667334e-07,-2.6516251726256418e-01,-1.7944696311619591e-02,1.8017803726656764e-01,1.0602629885170245e-14
1,5.0000000000000003e-02,0.0000000000000000e+00,1.4644660940672627e-01,-1.4391849830179927e-02,6.7647238469243989e-03,-7.6766448612976701e-01,1.3352927861667334e-07,-2.6516251726256418e-01,-1.7944696311619591e-02,1.8017803726656764e-01,1.0602629885170245e-14
1,5.0000000000000003e-02,0.0000000000000000e+00,1.6422052257649078e-01,-1.6430888986630272e-02,4.0825447415298493e-03,-7.4298502940308075e-01,1.3352927861667334e-07,-2.6516251726256418e-01,-1.7944696311619591e-02,1.8017803726656764e-01,1.0602629885170245e-14
1,5.0000000000000003e-02,0.0000000000000000e+00,1.8280335791817731e-01,-1.7468194257585223e-02,2.4815150734056610e-03,-7.1469993352718941e-01,1.3352927861667334e-07,-2.6516251726256418e-01,-1.7944696311619591e-02,1.8017803726656764e-01,1.0602629885170245e-14
1,5.0000000000000003e-02,0.0000000000000000e+00,2.0215034775378332e-01,-1.7892699806475190e-02,1.5247600284787541e-03,-6.8403460378516956e-01,1.3352927861667334e-07,-2.6516251726256418e-01,-1.7944696311619591e-02,1.8017803726656764e-01,1.0602629885170245e-14
